序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
4927,接收,10:08:33.138.0,0x000002a8,数据帧,标准帧,0x08,00 40 01 00 40 00 50 43 
4928,接收,10:08:33.138.0,0x000000e0,数据帧,标准帧,0x08,00 01 00 e0 c1 d6 00 00 
4929,接收,10:08:33.138.0,0x00000281,数据帧,标准帧,0x08,00 00 00 00 00 00 06 88 
4930,接收,10:08:33.138.0,0x00000197,数据帧,标准帧,0x08,00 08 00 00 00 00 0c 7f 
4931,接收,10:08:33.138.0,0x000002b1,数据帧,标准帧,0x08,22 01 00 00 00 00 00 00 
4932,接收,10:08:33.138.0,0x00000135,数据帧,标准帧,0x08,00 00 00 00 00 00 0b 4c 
4933,接收,10:08:33.138.0,0x00000136,数据帧,标准帧,0x08,00 00 01 00 00 00 0b e1 
4934,接收,10:08:33.138.0,0x00000190,数据帧,标准帧,0x08,00 00 00 21 00 00 0b 15 
4935,接收,10:08:33.138.0,0x00000191,数据帧,标准帧,0x08,00 00 81 20 00 80 0b 20 
4936,接收,10:08:33.138.0,0x000001a1,数据帧,标准帧,0x08,8c 19 8d 8d 00 35 7a df 
4937,接收,10:08:33.138.0,0x000001a2,数据帧,标准帧,0x08,80 05 00 80 50 06 03 fa 
4938,接收,10:08:33.138.0,0x000001b0,数据帧,标准帧,0x08,00 20 98 01 00 00 05 cd 
4939,接收,10:08:33.138.0,0x00000084,数据帧,标准帧,0x08,00 00 00 7b 70 89 78 35 
4940,接收,10:08:33.138.0,0x00000085,数据帧,标准帧,0x08,f7 00 0b 1a 44 60 00 80 
4941,接收,10:08:33.138.0,0x00000082,数据帧,标准帧,0x08,7d 17 d0 0e 78 04 81 83 
4942,接收,10:08:33.138.0,0x000001e2,数据帧,标准帧,0x08,0a 1d 50 00 00 00 09 72 
4943,接收,10:08:33.138.0,0x0000028e,数据帧,标准帧,0x08,08 00 00 00 00 00 00 00 
4944,接收,10:08:33.138.0,0x000002f1,数据帧,标准帧,0x08,00 87 00 00 00 00 93 00 
4945,接收,10:08:33.138.0,0x00000097,数据帧,标准帧,0x08,64 00 7c a2 c6 06 0a 58 
4946,接收,10:08:33.138.0,0x00000107,数据帧,标准帧,0x08,00 30 00 00 b0 f2 00 00 
4947,接收,10:08:33.138.0,0x000000e0,数据帧,标准帧,0x08,00 01 00 e0 d1 36 00 00 
4948,接收,10:08:33.138.0,0x00000120,数据帧,标准帧,0x08,fa 00 00 0f a0 fa 0d 89 
4949,接收,10:08:33.138.0,0x00000121,数据帧,标准帧,0x08,00 01 02 8c 00 00 0d ff 
4950,接收,10:08:33.138.0,0x00000122,数据帧,标准帧,0x08,00 00 00 00 14 00 0d 76 
4951,接收,10:08:33.138.0,0x00000123,数据帧,标准帧,0x08,00 00 00 00 05 d4 2d 88 
4952,接收,10:08:33.138.0,0x00000124,数据帧,标准帧,0x08,fe 6f 57 f8 4e e7 d0 bd 
4953,接收,10:08:33.138.0,0x00000125,数据帧,标准帧,0x08,02 00 01 01 00 40 0d e5 
4954,接收,10:08:33.138.0,0x00000126,数据帧,标准帧,0x08,90 4a 00 00 00 00 0d 2d 
4955,接收,10:08:33.138.0,0x00000127,数据帧,标准帧,0x08,00 00 00 01 00 00 0d 1b 
4956,接收,10:08:33.138.0,0x0000012a,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
4957,接收,10:08:33.154.0,0x00000130,数据帧,标准帧,0x08,f4 01 07 d0 46 50 00 0b 
4958,接收,10:08:33.154.0,0x00000131,数据帧,标准帧,0x08,e1 00 07 cc 00 00 00 0b 
4959,接收,10:08:33.154.0,0x00000150,数据帧,标准帧,0x08,7e 00 04 06 85 01 01 21 
4960,接收,10:08:33.154.0,0x00000084,数据帧,标准帧,0x08,00 00 00 7b 70 89 79 1a 
4961,接收,10:08:33.154.0,0x00000085,数据帧,标准帧,0x08,f7 00 0b 12 d1 60 00 90 
4962,接收,10:08:33.154.0,0x00000082,数据帧,标准帧,0x08,7d 07 d0 0e 78 04 fc 93 
4963,接收,10:08:33.154.0,0x000002f2,数据帧,标准帧,0x08,00 00 04 20 1f 00 03 80 
4964,接收,10:08:33.154.0,0x00000097,数据帧,标准帧,0x08,64 00 7c a2 c6 06 0b 77 
4965,接收,10:08:33.154.0,0x00000113,数据帧,标准帧,0x08,0b 1c 00 01 11 24 0c 49 
4966,接收,10:08:33.154.0,0x00000218,数据帧,标准帧,0x08,5b 00 00 00 00 00 05 64 
4967,接收,10:08:33.154.0,0x000000e0,数据帧,标准帧,0x08,00 01 00 e0 e1 39 00 00 
4968,接收,10:08:33.154.0,0x00000197,数据帧,标准帧,0x08,00 08 00 00 00 00 0d 50 
4969,接收,10:08:33.154.0,0x00000135,数据帧,标准帧,0x08,00 00 00 00 00 00 0c 81 
4970,接收,10:08:33.154.0,0x00000136,数据帧,标准帧,0x08,00 00 01 00 00 00 0c 2c 
4971,接收,10:08:33.154.0,0x00000190,数据帧,标准帧,0x08,00 00 00 21 00 00 0c d8 
4972,接收,10:08:33.154.0,0x00000191,数据帧,标准帧,0x08,00 00 81 20 00 80 0c ed 
4973,接收,10:08:33.154.0,0x000001a1,数据帧,标准帧,0x08,8c 19 8d 8d 00 36 7a cb 
4974,接收,10:08:33.154.0,0x000001a2,数据帧,标准帧,0x08,80 05 00 80 60 06 03 f5 
4975,接收,10:08:33.154.0,0x000001b0,数据帧,标准帧,0x08,00 20 98 01 00 00 06 bc 
4976,接收,10:08:33.154.0,0x00000084,数据帧,标准帧,0x08,00 00 00 7b 70 89 7a 6b 
4977,接收,10:08:33.154.0,0x00000085,数据帧,标准帧,0x08,f7 00 0b 10 49 60 00 a0 
4978,接收,10:08:33.154.0,0x00000082,数据帧,标准帧,0x08,7d 07 d0 0e 78 04 21 a3 
4979,接收,10:08:33.154.0,0x000001e2,数据帧,标准帧,0x08,0a 1d 50 00 00 00 0a 03 
4980,接收,10:08:33.154.0,0x00000097,数据帧,标准帧,0x08,64 00 7c a2 c6 06 0c ba 
4981,接收,10:08:33.154.0,0x00000107,数据帧,标准帧,0x08,00 30 00 00 c0 0c 00 00 
4982,接收,10:08:33.170.0,0x000002aa,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
4983,接收,10:08:33.170.0,0x000000e0,数据帧,标准帧,0x08,00 01 00 e0 f1 d9 00 00 
4984,接收,10:08:33.170.0,0x00000120,数据帧,标准帧,0x08,fa 00 00 0f a0 fa 0e f8 
4985,接收,10:08:33.170.0,0x00000121,数据帧,标准帧,0x08,00 01 02 8c 00 00 0e 8e 
4986,接收,10:08:33.170.0,0x00000122,数据帧,标准帧,0x08,00 00 00 00 14 00 0e 07 
4987,接收,10:08:33.170.0,0x00000123,数据帧,标准帧,0x08,00 00 00 00 05 d4 2e f9 
4988,接收,10:08:33.170.0,0x00000124,数据帧,标准帧,0x08,fe 6f 57 f8 4e e7 e0 60 
4989,接收,10:08:33.170.0,0x00000125,数据帧,标准帧,0x08,02 00 01 01 00 40 0e 94 
4990,接收,10:08:33.170.0,0x00000126,数据帧,标准帧,0x08,90 4a 00 00 00 00 0e 5c 
4991,接收,10:08:33.170.0,0x00000127,数据帧,标准帧,0x08,00 00 00 01 00 00 0e 6a 
4992,接收,10:08:33.170.0,0x0000012a,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
4993,接收,10:08:33.170.0,0x00000130,数据帧,标准帧,0x08,5c 01 07 cd 46 50 00 0c 
4994,接收,10:08:33.170.0,0x00000131,数据帧,标准帧,0x08,59 00 07 ce 00 00 00 0c 
4995,接收,10:08:33.170.0,0x00000150,数据帧,标准帧,0x08,7e 00 04 06 c5 01 02 a1 
4996,接收,10:08:33.170.0,0x000001f1,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
4997,接收,10:08:33.170.0,0x00000260,数据帧,标准帧,0x08,00 00 00 00 00 00 16 30 
4998,接收,10:08:33.170.0,0x00000084,数据帧,标准帧,0x08,00 00 00 7b 70 89 6b ea 
4999,接收,10:08:33.170.0,0x00000085,数据帧,标准帧,0x08,f7 00 0b 12 a2 60 00 b0 
5000,接收,10:08:33.170.0,0x00000082,数据帧,标准帧,0x08,7d 07 d0 0e 78 04 8f b3 
5001,接收,10:08:33.170.0,0x0000026d,数据帧,标准帧,0x08,04 3d 03 00 00 00 00 00 
5002,接收,10:08:33.170.0,0x00000097,数据帧,标准帧,0x08,64 00 7c a2 c6 06 0d 95 
5003,接收,10:08:33.170.0,0x00000113,数据帧,标准帧,0x08,0b 12 00 01 11 24 0d 4f 
5004,接收,10:08:33.170.0,0x000000e0,数据帧,标准帧,0x08,00 01 00 e0 01 ea 00 00 
5005,接收,10:08:33.170.0,0x000001f0,数据帧,标准帧,0x08,04 10 00 00 00 00 01 37 
5006,接收,10:08:33.170.0,0x00000409,数据帧,标准帧,0x08,09 00 01 01 0a 00 00 00 
5007,接收,10:08:33.170.0,0x00000197,数据帧,标准帧,0x08,00 08 00 00 00 00 0e 21 
5008,接收,10:08:33.170.0,0x00000292,数据帧,标准帧,0x08,00 00 00 1f e7 00 60 31 
5009,接收,10:08:33.170.0,0x00000135,数据帧,标准帧,0x08,00 00 00 00 00 00 0d ae 
5010,接收,10:08:33.170.0,0x00000136,数据帧,标准帧,0x08,00 00 01 00 00 00 0d 03 
5011,接收,10:08:33.185.0,0x00000190,数据帧,标准帧,0x08,00 00 00 21 00 00 0d f7 
5012,接收,10:08:33.185.0,0x00000191,数据帧,标准帧,0x08,00 00 81 20 00 80 0d c2 
5013,接收,10:08:33.185.0,0x00000114,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5014,接收,10:08:33.185.0,0x000001a1,数据帧,标准帧,0x08,8c 19 8d 8d 00 37 7a 22 
5015,接收,10:08:33.185.0,0x000001a2,数据帧,标准帧,0x08,80 05 00 80 70 06 03 15 
5016,接收,10:08:33.185.0,0x000001a3,数据帧,标准帧,0x08,ff 18 30 00 00 00 06 74 
5017,接收,10:08:33.185.0,0x00000084,数据帧,标准帧,0x08,00 00 00 7b 70 89 6c 27 
5018,接收,10:08:33.185.0,0x00000085,数据帧,标准帧,0x08,f8 00 0b 16 ec 60 00 c0 
5019,接收,10:08:33.185.0,0x000001a6,数据帧,标准帧,0x08,00 7f 00 00 7f 00 00 00 
5020,接收,10:08:33.185.0,0x00000082,数据帧,标准帧,0x08,7d 07 d0 0e 78 04 b4 c3 
5021,接收,10:08:33.185.0,0x000001a7,数据帧,标准帧,0x08,00 7f 00 00 7f 00 00 00 
5022,接收,10:08:33.185.0,0x000001b0,数据帧,标准帧,0x08,00 20 98 01 00 00 07 93 
5023,接收,10:08:33.185.0,0x000001b2,数据帧,标准帧,0x08,53 00 6c 3f 00 00 00 00 
5024,接收,10:08:33.185.0,0x000001e2,数据帧,标准帧,0x08,0a 1d 50 00 00 00 0b 2c 
5025,接收,10:08:33.185.0,0x00000097,数据帧,标准帧,0x08,64 00 7c a2 c6 06 0e e4 
5026,接收,10:08:33.185.0,0x00000107,数据帧,标准帧,0x08,00 30 00 00 d0 ec 00 00 
5027,接收,10:08:33.185.0,0x000002e0,数据帧,标准帧,0x08,a1 00 40 10 00 00 8b 91 
5028,接收,10:08:33.185.0,0x000002a0,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5029,接收,10:08:33.185.0,0x000003e1,数据帧,标准帧,0x08,00 00 00 00 00 00 03 1b 
5030,接收,10:08:33.185.0,0x000003e2,数据帧,标准帧,0x08,00 00 00 00 00 00 03 1b 
5031,接收,10:08:33.185.0,0x000000e0,数据帧,标准帧,0x08,00 01 00 e0 11 0a 00 00 
5032,接收,10:08:33.185.0,0x00000120,数据帧,标准帧,0x08,fa 00 00 0f a0 fa 0f d7 
5033,接收,10:08:33.185.0,0x00000121,数据帧,标准帧,0x08,00 01 02 8c 00 00 0f a1 
5034,接收,10:08:33.185.0,0x00000122,数据帧,标准帧,0x08,00 00 00 00 14 00 0f 28 
5035,接收,10:08:33.185.0,0x00000123,数据帧,标准帧,0x08,00 00 00 00 05 d4 2f d6 
5036,接收,10:08:33.185.0,0x00000124,数据帧,标准帧,0x08,fe 6f 57 f8 4e e7 f0 ce 
5037,接收,10:08:33.185.0,0x00000125,数据帧,标准帧,0x08,02 00 01 01 00 40 0f bb 
5038,接收,10:08:33.185.0,0x00000126,数据帧,标准帧,0x08,90 4a 00 00 00 00 0f 73 
5039,接收,10:08:33.185.0,0x00000127,数据帧,标准帧,0x08,00 00 00 01 00 00 0f 45 
5040,接收,10:08:33.185.0,0x0000012a,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5041,接收,10:08:33.185.0,0x000002a4,数据帧,标准帧,0x08,00 80 20 00 18 00 00 00 
5042,接收,10:08:33.185.0,0x000002ae,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
5043,接收,10:08:33.185.0,0x00000130,数据帧,标准帧,0x08,16 01 07 d0 46 50 00 0d 
5044,接收,10:08:33.185.0,0x00000131,数据帧,标准帧,0x08,21 00 07 d4 00 00 00 0d 
5045,接收,10:08:33.185.0,0x00000150,数据帧,标准帧,0x08,7e 00 04 06 c5 01 03 8e 
5046,接收,10:08:33.185.0,0x000002b4,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5047,接收,10:08:33.185.0,0x00000084,数据帧,标准帧,0x08,00 00 00 7b 70 89 6d 08 
5048,接收,10:08:33.185.0,0x00000085,数据帧,标准帧,0x08,f8 00 0b 1c 3c 60 00 d0 
5049,接收,10:08:33.185.0,0x00000082,数据帧,标准帧,0x08,7d 17 d0 0e 78 04 c9 d3 
5050,接收,10:08:33.185.0,0x00000097,数据帧,标准帧,0x08,64 00 7c a2 c6 06 0f cb 
5051,接收,10:08:33.185.0,0x00000113,数据帧,标准帧,0x08,0b 12 00 01 11 24 0e 3e 
5052,接收,10:08:33.201.0,0x000000e0,数据帧,标准帧,0x08,00 01 00 e0 21 05 00 00 
5053,接收,10:08:33.201.0,0x00000197,数据帧,标准帧,0x08,00 08 00 00 00 00 0f 0e 
5054,接收,10:08:33.201.0,0x00000135,数据帧,标准帧,0x08,00 00 00 00 00 00 0e df 
5055,接收,10:08:33.201.0,0x00000136,数据帧,标准帧,0x08,00 00 01 00 00 00 0e 72 
5056,接收,10:08:33.201.0,0x00000190,数据帧,标准帧,0x08,00 00 00 21 00 00 0e 86 
5057,接收,10:08:33.201.0,0x00000191,数据帧,标准帧,0x08,00 00 81 20 00 80 0e b3 
5058,接收,10:08:33.201.0,0x00000291,数据帧,标准帧,0x08,00 00 00 00 00 00 06 88 
5059,接收,10:08:33.201.0,0x000001a1,数据帧,标准帧,0x08,8c 19 8d 8d 00 38 7a 66 
5060,接收,10:08:33.201.0,0x000001a2,数据帧,标准帧,0x08,80 05 00 80 80 06 03 26 
5061,接收,10:08:33.201.0,0x000001b0,数据帧,标准帧,0x08,00 20 98 01 00 00 08 09 
5062,接收,10:08:33.201.0,0x00000084,数据帧,标准帧,0x08,00 00 00 7b 70 89 7e d7 
5063,接收,10:08:33.201.0,0x00000085,数据帧,标准帧,0x08,f8 00 0b 1e a4 60 00 e0 
5064,接收,10:08:33.201.0,0x00000082,数据帧,标准帧,0x08,7d 17 d0 0e 78 04 14 e3 
5065,接收,10:08:33.201.0,0x000001e2,数据帧,标准帧,0x08,0a 1d 50 00 00 00 0c e1 
5066,接收,10:08:33.201.0,0x00000097,数据帧,标准帧,0x08,64 00 7c a2 c6 06 00 51 
5067,接收,10:08:33.201.0,0x00000107,数据帧,标准帧,0x08,00 30 00 00 e0 e3 00 00 
5068,接收,10:08:33.201.0,0x000002c4,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5069,接收,10:08:33.201.0,0x000000e0,数据帧,标准帧,0x08,00 01 00 e0 31 e5 00 00 
5070,接收,10:08:33.201.0,0x00000120,数据帧,标准帧,0x08,fa 00 00 0f a0 fa 00 4d 
5071,接收,10:08:33.201.0,0x00000121,数据帧,标准帧,0x08,00 01 02 8c 00 00 00 3b 
5072,接收,10:08:33.201.0,0x00000122,数据帧,标准帧,0x08,00 00 00 00 14 00 00 b2 
5073,接收,10:08:33.201.0,0x00000123,数据帧,标准帧,0x08,00 00 00 00 05 d4 20 4c 
5074,接收,10:08:33.201.0,0x00000124,数据帧,标准帧,0x08,fe 6f 57 f8 4e e7 00 16 
5075,接收,10:08:33.201.0,0x00000125,数据帧,标准帧,0x08,02 00 01 01 00 40 00 21 
5076,接收,10:08:33.201.0,0x00000126,数据帧,标准帧,0x08,90 4a 00 00 00 00 00 e9 
5077,接收,10:08:33.201.0,0x00000127,数据帧,标准帧,0x08,00 00 00 01 00 00 00 df 
5078,接收,10:08:33.201.0,0x0000012a,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5079,接收,10:08:33.201.0,0x00000130,数据帧,标准帧,0x08,af 01 07 cc 46 50 00 0e 
5080,接收,10:08:33.201.0,0x00000131,数据帧,标准帧,0x08,cf 00 07 d2 00 00 00 0e 
5081,接收,10:08:33.201.0,0x00000150,数据帧,标准帧,0x08,7e 00 04 07 45 01 04 3b 
5082,接收,10:08:33.232.0,0x00000084,数据帧,标准帧,0x08,00 00 00 7b 70 89 7f f8 
5083,接收,10:08:33.232.0,0x00000085,数据帧,标准帧,0x08,f8 00 0b 1e 0a 60 00 f0 
5084,接收,10:08:33.232.0,0x00000082,数据帧,标准帧,0x08,7d 17 d0 0e 78 04 ba f3 
5085,接收,10:08:33.232.0,0x00000097,数据帧,标准帧,0x08,64 00 7c a2 c6 06 01 7e 
5086,接收,10:08:33.232.0,0x00000113,数据帧,标准帧,0x08,0b 1c 00 01 11 24 0f 38 
5087,接收,10:08:33.232.0,0x000002a7,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5088,接收,10:08:33.232.0,0x000000e0,数据帧,标准帧,0x08,00 01 00 e0 41 1b 00 00 
5089,接收,10:08:33.232.0,0x00000197,数据帧,标准帧,0x08,00 08 00 00 00 00 00 94 
5090,接收,10:08:33.232.0,0x00000135,数据帧,标准帧,0x08,00 00 00 00 00 00 0f f0 
5091,接收,10:08:33.232.0,0x00000136,数据帧,标准帧,0x08,00 00 01 00 00 00 0f 5d 
5092,接收,10:08:33.232.0,0x00000190,数据帧,标准帧,0x08,00 00 00 21 00 00 0f a9 
5093,接收,10:08:33.232.0,0x00000191,数据帧,标准帧,0x08,00 00 81 20 00 80 0f 9c 
5094,接收,10:08:33.232.0,0x000001f1,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5095,接收,10:08:33.232.0,0x000001a1,数据帧,标准帧,0x08,8c 19 8d 8d 00 39 7a 8f 
5096,接收,10:08:33.232.0,0x000001a2,数据帧,标准帧,0x08,80 05 00 80 90 06 03 c6 
5097,接收,10:08:33.232.0,0x000001b0,数据帧,标准帧,0x08,00 20 98 01 00 00 09 26 
5098,接收,10:08:33.232.0,0x00000084,数据帧,标准帧,0x08,00 00 00 7b 70 89 70 62 
5099,接收,10:08:33.232.0,0x00000085,数据帧,标准帧,0x08,f8 00 0b 1a 58 60 00 00 
5100,接收,10:08:33.232.0,0x00000082,数据帧,标准帧,0x08,7d 17 d0 0e 78 04 62 03 
5101,接收,10:08:33.232.0,0x000001e2,数据帧,标准帧,0x08,0a 1d 50 00 00 00 0d ce 
5102,接收,10:08:33.232.0,0x00000097,数据帧,标准帧,0x08,64 00 7c a2 c6 06 02 0f 
5103,接收,10:08:33.232.0,0x00000107,数据帧,标准帧,0x08,00 30 00 00 f0 03 00 00 
5104,接收,10:08:33.232.0,0x0000028a,数据帧,标准帧,0x08,b4 00 02 00 09 51 06 09 
5105,接收,10:08:33.232.0,0x0000028c,数据帧,标准帧,0x08,00 00 00 00 00 00 0b 18 
5106,接收,10:08:33.232.0,0x000000e0,数据帧,标准帧,0x08,00 01 00 e0 51 fb 00 00 
5107,接收,10:08:33.232.0,0x000001f0,数据帧,标准帧,0x08,04 10 00 00 00 00 02 46 
5108,接收,10:08:33.232.0,0x00000120,数据帧,标准帧,0x08,fa 00 00 0f a0 fa 01 62 
5109,接收,10:08:33.248.0,0x00000121,数据帧,标准帧,0x08,00 01 02 8c 00 00 01 14 
5110,接收,10:08:33.248.0,0x00000122,数据帧,标准帧,0x08,00 00 00 00 14 00 01 9d 
5111,接收,10:08:33.248.0,0x00000123,数据帧,标准帧,0x08,00 00 00 00 05 d4 21 63 
5112,接收,10:08:33.248.0,0x00000124,数据帧,标准帧,0x08,fe 6f 57 f8 4e e7 10 b8 
5113,接收,10:08:33.248.0,0x00000125,数据帧,标准帧,0x08,02 00 01 01 00 40 01 0e 
5114,接收,10:08:33.248.0,0x00000126,数据帧,标准帧,0x08,90 4a 00 00 00 00 01 c6 
5115,接收,10:08:33.248.0,0x00000127,数据帧,标准帧,0x08,00 00 00 01 00 00 01 f0 
5116,接收,10:08:33.248.0,0x0000012a,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5117,接收,10:08:33.248.0,0x00000285,数据帧,标准帧,0x08,c9 20 01 40 14 00 01 00 
5118,接收,10:08:33.248.0,0x00000130,数据帧,标准帧,0x08,2d 01 07 cd 46 50 00 0f 
5119,接收,10:08:33.248.0,0x00000131,数据帧,标准帧,0x08,28 00 07 ce 00 00 00 0f 
5120,接收,10:08:33.248.0,0x00000150,数据帧,标准帧,0x08,7e 00 04 07 45 01 05 14 
5121,接收,10:08:33.248.0,0x00000286,数据帧,标准帧,0x08,c9 20 01 40 14 00 00 00 
5122,接收,10:08:33.248.0,0x00000114,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5123,接收,10:08:33.248.0,0x000001a3,数据帧,标准帧,0x08,ff 18 30 00 00 00 07 5b 
5124,接收,10:08:33.248.0,0x000001a6,数据帧,标准帧,0x08,00 7f 00 00 7f 00 00 00 
5125,接收,10:08:33.248.0,0x000001a7,数据帧,标准帧,0x08,00 7f 00 00 7f 00 00 00 
5126,接收,10:08:33.248.0,0x00000084,数据帧,标准帧,0x08,00 00 00 7b 70 89 71 4d 
5127,接收,10:08:33.248.0,0x00000085,数据帧,标准帧,0x08,f8 00 0b 14 02 60 00 10 
5128,接收,10:08:33.248.0,0x00000082,数据帧,标准帧,0x08,7d 07 d0 0e 78 04 1f 13 
5129,接收,10:08:33.248.0,0x000001b2,数据帧,标准帧,0x08,53 00 6c 3f 00 00 00 00 
5130,接收,10:08:33.248.0,0x00000284,数据帧,标准帧,0x08,00 00 40 50 40 70 02 00 
5131,接收,10:08:33.248.0,0x00000097,数据帧,标准帧,0x08,64 00 7c a2 c6 06 03 20 
5132,接收,10:08:33.248.0,0x00000113,数据帧,标准帧,0x08,0b 1e 00 01 11 24 00 0a 
5133,接收,10:08:33.248.0,0x00000283,数据帧,标准帧,0x08,00 00 00 00 00 08 90 a2 
5134,接收,10:08:33.248.0,0x000002a8,数据帧,标准帧,0x08,00 40 01 00 40 00 60 9e 
5135,接收,10:08:33.248.0,0x000000e0,数据帧,标准帧,0x08,00 01 00 e0 61 f4 00 00 
5136,接收,10:08:33.248.0,0x00000281,数据帧,标准帧,0x08,00 00 00 00 00 00 07 a7 
5137,接收,10:08:33.248.0,0x000002b1,数据帧,标准帧,0x08,22 01 00 00 00 00 00 00 
5138,接收,10:08:33.248.0,0x00000197,数据帧,标准帧,0x08,00 08 00 00 00 00 01 bb 
5139,接收,10:08:33.248.0,0x00000135,数据帧,标准帧,0x08,00 00 00 00 00 00 00 6a 
5140,接收,10:08:33.248.0,0x00000136,数据帧,标准帧,0x08,00 00 01 00 00 00 00 c7 
5141,接收,10:08:33.248.0,0x00000190,数据帧,标准帧,0x08,00 00 00 21 00 00 00 33 
5142,接收,10:08:33.248.0,0x00000191,数据帧,标准帧,0x08,00 00 81 20 00 80 00 06 
5143,接收,10:08:33.248.0,0x000001a1,数据帧,标准帧,0x08,8c 19 8d 8d 00 3a 7a 9b 
5144,接收,10:08:33.248.0,0x000001a2,数据帧,标准帧,0x08,80 05 00 80 a0 06 03 c9 
5145,接收,10:08:33.248.0,0x000001b0,数据帧,标准帧,0x08,00 20 98 01 00 00 0a 57 
5146,接收,10:08:33.248.0,0x00000084,数据帧,标准帧,0x08,00 00 00 7b 70 89 62 92 
5147,接收,10:08:33.248.0,0x00000085,数据帧,标准帧,0x08,f8 00 0b 10 55 60 00 20 
5148,接收,10:08:33.248.0,0x00000082,数据帧,标准帧,0x08,7d 07 d0 0e 78 04 c2 23 
5149,接收,10:08:33.248.0,0x000001e2,数据帧,标准帧,0x08,0a 1d 50 00 00 00 0e bf 
5150,接收,10:08:33.248.0,0x0000028e,数据帧,标准帧,0x08,08 00 00 00 00 00 00 00 
5151,接收,10:08:33.248.0,0x000002f1,数据帧,标准帧,0x08,00 87 00 00 00 00 93 00 
5152,接收,10:08:33.248.0,0x00000097,数据帧,标准帧,0x08,64 00 7c a2 c6 06 04 ed 
5153,接收,10:08:33.248.0,0x00000107,数据帧,标准帧,0x08,00 30 00 00 00 30 00 00 
5154,接收,10:08:33.248.0,0x000000e0,数据帧,标准帧,0x08,00 01 00 e0 71 14 00 00 
5155,接收,10:08:33.248.0,0x00000120,数据帧,标准帧,0x08,fa 00 00 0f a0 fa 02 13 
5156,接收,10:08:33.248.0,0x00000121,数据帧,标准帧,0x08,00 01 02 8c 00 00 02 65 
5157,接收,10:08:33.248.0,0x00000122,数据帧,标准帧,0x08,00 00 00 00 14 00 02 ec 
5158,接收,10:08:33.248.0,0x00000123,数据帧,标准帧,0x08,00 00 00 00 05 d4 22 12 
5159,接收,10:08:33.248.0,0x00000124,数据帧,标准帧,0x08,fe 6f 57 f8 4e e7 20 65 
5160,接收,10:08:33.248.0,0x00000125,数据帧,标准帧,0x08,02 00 01 01 00 40 02 7f 
5161,接收,10:08:33.248.0,0x00000126,数据帧,标准帧,0x08,90 4a 00 00 00 00 02 b7 
5162,接收,10:08:33.248.0,0x00000127,数据帧,标准帧,0x08,00 00 00 01 00 00 02 81 
5163,接收,10:08:33.248.0,0x0000012a,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5164,接收,10:08:33.248.0,0x00000380,数据帧,标准帧,0x08,1a 8c e1 00 00 00 00 00 
5165,接收,10:08:33.248.0,0x00000130,数据帧,标准帧,0x08,b7 01 07 cd 46 50 00 00 
5166,接收,10:08:33.248.0,0x00000131,数据帧,标准帧,0x08,c7 00 07 cc 00 00 00 00 
5167,接收,10:08:33.248.0,0x00000150,数据帧,标准帧,0x08,7e 00 04 07 45 01 06 65 
5168,接收,10:08:33.248.0,0x00000084,数据帧,标准帧,0x08,00 00 00 7b 70 89 63 bd 
5169,接收,10:08:33.248.0,0x00000085,数据帧,标准帧,0x08,f8 00 0b 0e 79 60 00 30 
5170,接收,10:08:33.248.0,0x00000082,数据帧,标准帧,0x08,7d 07 d0 0e 78 04 6c 33 
5171,接收,10:08:33.248.0,0x000002f2,数据帧,标准帧,0x08,00 00 04 20 1f 00 03 80 
5172,接收,10:08:33.248.0,0x00000097,数据帧,标准帧,0x08,64 00 7c a2 c6 06 05 c2 
5173,接收,10:08:33.248.0,0x00000113,数据帧,标准帧,0x08,0b 14 00 01 11 24 01 73 
5174,接收,10:08:33.248.0,0x00000218,数据帧,标准帧,0x08,5b 00 00 00 00 00 06 15 
5175,接收,10:08:33.248.0,0x000000e0,数据帧,标准帧,0x08,00 01 00 e0 81 27 00 00 
5176,接收,10:08:33.248.0,0x000002ab,数据帧,标准帧,0x08,01 e0 00 00 00 03 01 00 
5177,接收,10:08:33.279.0,0x00000197,数据帧,标准帧,0x08,00 08 00 00 00 00 02 ca 
5178,接收,10:08:33.279.0,0x00000135,数据帧,标准帧,0x08,00 00 00 00 00 00 01 45 
5179,接收,10:08:33.279.0,0x00000136,数据帧,标准帧,0x08,00 00 01 00 00 00 01 e8 
